WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,Tilichiki,RU,60.4667,166.1,-22.47,96,28,10.89,Clouds
289,Kaseda,JP,31.4167,130.3167,50.07,62,19,17.43,Clouds
290,Benton Harbor,US,42.1167,-86.4542,38.05,87,100,0.0,Clouds
291,Abu Zabad,SD,12.35,29.25,79.16,20,0,16.31,Clear
292,Luderitz,NA,-26.6481,15.1594,73.29,60,0,9.35,Clear
293,Awbari,LY,26.5921,12.7805,56.25,37,0,9.06,Clear
294,Salina Cruz,MX,16.1667,-95.2,72.66,83,95,4.7,Clouds
295,Okhotsk,RU,59.3833,143.3,-5.04,98,100,10.63,Clouds
296,Nha Trang,VN,12.25,109.1833,75.2,77,100,10.38,Rain
297,Kaeo,NZ,-35.1,173.7833,65.28,87,100,10.04,Clouds
298,Goya,AR,-29.14,-59.2626,70.79,48,8,4.21,Clear
299,Kavieng,PG,-2.5744,150.7967,82.42,77,90,7.63,Clouds
300,Karachi,PK,24.9056,67.0822,78.62,19,0,4.61,Clear
301,Roald,NO,62.5833,6.1333,42.75,75,75,18.41,Rain
302,Ottumwa,US,41.02,-92.4113,27.14,95,0,5.75,Clear
303,Akyab,MM,20.15,92.9,75.56,44,0,11.56,Clear
304,Marabba,SD,12.35,32.1833,82.87,22,1,13.0,Clear
305,Lima,PE,-12.0432,-77.0282,69.91,81,40,14.97,Clouds
306,Kawalu,ID,-7.3817,108.2082,76.91,86,100,1.5,Rain
307,Yuancheng,CN,36.652,107.7896,30.47,26,28,1.23,Clouds
308,Mwaro,BI,-3.5,29.6667,67.21,66,99,6.31,Rain
309,Iqaluit,CA,63.7506,-68.5145,-15.07,70,75,0.0,Clouds
310,Korem,ET,12.5058,39.5228,56.07,72,69,7.94,Clouds
311,Rameswaram,IN,9.2833,79.3,79.2,74,90,12.17,Clouds
312,Stokmarknes,NO,68.5646,14.9108,40.98,60,100,21.85,Clouds
313,Alofi,NU,-19.0595,-169.9187,76.89,94,100,4.61,Rain
314,Fairbanks,US,64.8378,-147.7164,-10.86,76,0,0.0,Clear
315,Porto Belo,BR,-27.1578,-48.5531,70.16,86,7,5.12,Clear
316,Leningradskiy,RU,69.3833,178.4167,-30.73,96,46,7.0,Clouds
317,Quatre Cocos,MU,-20.2078,57.7625,86.11,63,23,7.34,Rain
318,College,US,64.8569,-147.8028,-10.88,76,20,0.0,Clouds
319,Tumpat,MY,6.1978,102.171,84.18,70,20,6.91,Clouds
320,Ilulissat,GL,69.2167,-51.1,1.98,96,100,5.01,Snow
321,Narsaq,GL,60.9167,-46.05,-6.36,66,0,6.96,Clear
322,Khandyga,RU,62.6667,135.6,-27.4,99,100,2.13,Clouds
323,Kaka,TM,37.3482,59.6143,48.07,52,5,10.51,Clear
324,Yining,CN,29.0361,114.5636,50.58,58,65,2.01,Clouds
325,Berlevag,NO,70.8578,29.0864,26.6,74,100,10.36,Clouds
326,Cabedelo,BR,-6.9811,-34.8339,75.87,75,100,10.74,Clouds
327,Ekhabi,RU,53.5102,142.9671,4.17,89,100,13.15,Clouds
328,Zhaoqing,CN,23.0512,112.4597,66.81,36,2,3.98,Clear
329,Vestmannaeyjar,IS,63.4427,-20.2734,31.06,89,100,2.77,Snow
330,Matay,EG,28.419,30.7792,64.99,50,98,15.05,Clouds
331,Port Elizabeth,ZA,-33.918,25.5701,77.09,60,0,6.91,Clear
332,Baruun-Urt,MN,46.6806,113.2792,-0.8,88,5,5.66,Clear
333,Sinnamary,GF,5.3833,-52.95,76.21,87,74,8.7,Clouds
334,Honiara,SB,-9.4333,159.95,80.31,82,100,4.12,Clouds
335,Saint George,US,37.1041,-113.5841,41.59,93,100,3.44,Mist
336,Flin Flon,CA,54.7682,-101.865,-2.09,97,74,6.69,Clouds
337,Orlik,RU,52.5178,99.825,-13.11,99,22,0.51,Clouds
338,Mamallapuram,IN,12.6264,80.1722,86.05,62,59,6.85,Clouds
339,Maniitsoq,GL,65.4167,-52.9,6.85,83,100,6.26,Clouds
340,Bonavista,CA,48.6499,-53.1147,34.36,96,100,23.73,Snow
341,Chik,RU,54.9928,82.4311,8.35,78,100,8.95,Snow
342,Prince Rupert,CA,54.3161,-130.3201,38.89,89,40,4.61,Clouds
343,Bethel,US,41.3712,-73.414,48.07,75,100,4.45,Clouds
344,Dong Xoai,VN,11.5333,106.9167,81.0,58,100,3.78,Clouds
345,Zaozerne,UA,45.1582,33.2787,51.49,80,100,3.2,Clouds
346,Grand-Lahou,CI,5.1367,-5.0242,79.77,69,6,7.49,Clear
347,Camopi,GF,3.1655,-52.3158,70.23,100,92,2.04,Clouds
348,Mehamn,NO,71.0357,27.8492,26.55,80,47,24.16,Clouds
349,Akom,CM,2.6678,12.7109,85.57,26,56,2.64,Clouds
350,Plastun,RU,44.7561,136.2939,16.47,78,2,7.94,Clear
