City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
559,Aviles,ES,69.19,Clear,43.5547,-5.9248,
561,Acapulco,MX,78.08,Clouds,16.8634,-99.8901,
566,Ugoofaaru,MV,81.23,Clouds,5.6667,73.0,
570,Port Macquarie,AU,71.89,Clouds,-31.4333,152.9167,
572,Sao Jose Da Coroa Grande,BR,77.47,Clouds,-8.8978,-35.1478,
574,Imbituba,BR,67.68,Clear,-28.24,-48.6703,
575,Tocopilla,CL,66.83,Clear,-22.092,-70.1979,
578,Navrongo,GH,77.04,Clouds,10.8956,-1.0921,
579,Omboue,GA,83.66,Clouds,-1.5746,9.2618,
581,Daru,PG,80.01,Rain,-9.0763,143.2092,
582,Mangai,CD,73.45,Rain,-4.05,19.5333,
584,Champerico,GT,75.43,Clouds,14.3,-91.9167,
585,Namatanai,PG,80.26,Clouds,-3.6667,152.4333,
586,Lar,IN,74.41,Clear,26.2039,83.9717,
587,Guane,CU,71.24,Clouds,22.2025,-84.0875,
588,Golden Gate,US,67.98,Mist,26.1879,-81.6951,
589,Port-Gentil,GA,84.16,Clouds,-0.7193,8.7815,
591,Havelock,US,67.98,Rain,34.8791,-76.9013,
592,Chabahar,IR,71.56,Clouds,25.2919,60.643,
593,Port Moresby,PG,83.62,Clouds,-9.4431,147.1797,
595,La Macarena,CO,69.55,Clouds,2.1837,-73.7849,
596,Santa Vitoria Do Palmar,BR,66.74,Clear,-33.5189,-53.3681,
598,Dingle,PH,79.07,Clouds,10.9995,122.6711,
600,Madhupur,IN,76.64,Clear,24.25,86.65,
606,Mabaruma,GY,70.27,Clouds,8.2,-59.7833,
614,Maceio,BR,74.64,Clouds,-9.6658,-35.7353,
615,Bartica,GY,73.72,Clouds,6.4,-58.6167,
618,Puerto Baquerizo Moreno,EC,71.85,Clouds,-0.9,-89.6,
625,Pemba,MZ,86.7,Clouds,-12.974,40.5178,
626,Seminole,US,69.39,Fog,28.7086,-81.2081,
627,Xai-Xai,MZ,77.63,Clouds,-25.0519,33.6442,
631,Sibolga,ID,82.13,Clouds,1.7427,98.7792,
632,Tucuman,AR,71.6,Clouds,-26.8241,-65.2226,
633,Luena,AO,74.28,Rain,-11.7833,19.9167,
636,Port Pirie,AU,78.66,Clear,-33.1833,138.0167,
642,Belmonte,BR,75.24,Clouds,-15.8631,-38.8828,
645,Mount Isa,AU,89.37,Clouds,-20.7333,139.5,
648,Japura,ID,83.44,Clouds,-0.3167,102.35,
650,Sola,VU,82.4,Rain,-13.8833,167.55,
652,Antalaha,MG,82.67,Clear,-14.9003,50.2788,
653,Igarapava,BR,72.52,Clouds,-20.0383,-47.7469,
655,Baturaja,ID,80.85,Clouds,-4.1333,104.1667,
656,That Phanom,TH,78.82,Clear,16.9364,104.7104,
657,Sri Aman,MY,86.09,Clouds,1.2376,111.4621,
658,Bauchi,NG,68.99,Clouds,10.5,10.0,
660,Vao,NC,78.48,Rain,-22.6667,167.4833,
662,Nanyamba,TZ,91.53,Clouds,-10.6833,39.8333,
664,Pangkalanbuun,ID,90.07,Clouds,-2.6833,111.6167,
665,Presidencia Roque Saenz Pena,AR,75.4,Clouds,-26.7852,-60.4388,
667,Ca Mau,VN,83.55,Clouds,9.1769,105.15,
